Time_sec,Temp_F
46.238,2.116324536
46.28,2.126099707
46.311,2.126099707
46.347,2.145650049
46.402,2.150537634
46.438,2.130987292
46.492,2.135874878
46.525,2.170087977
46.566,2.170087977
46.598,2.165200391
46.635,2.150537634
46.665,2.189638319
46.699,2.184750733
46.737,2.189638319
46.791,2.214076246
46.826,2.262952102
46.865,2.292277615
46.917,2.282502444
46.953,2.267839687
47.007,2.292277615
47.045,2.292277615
47.077,2.277614858
47.114,2.24340176
47.167,2.218963832
47.195,2.179863148
47.233,2.165200391
47.276,2.150537634
47.327,2.179863148
47.36,2.189638319
47.415,2.15542522
47.466,2.170087977
47.503,2.189638319
47.54,2.184750733
47.594,2.165200391
47.63,2.174975562
47.685,2.194525904
47.726,2.189638319
47.762,2.189638319
47.811,2.160312805
47.847,2.179863148
47.884,2.189638319
47.92,2.189638319
47.956,2.174975562
48.008,2.174975562
48.064,2.189638319
48.101,2.189638319
48.13,2.165200391
48.165,2.170087977
48.201,2.189638319
48.253,2.174975562
48.288,2.194525904
48.319,2.214076246
48.375,2.209188661
48.424,2.214076246
48.46,2.228739003
48.499,2.218963832
48.536,2.19941349
48.573,2.174975562
48.608,2.170087977
48.647,2.179863148
48.685,2.160312805
48.725,2.165200391
48.763,2.160312805
48.801,2.165200391
48.838,2.160312805
48.88,2.150537634
48.916,2.126099707
48.969,2.096774194
49.021,2.096774194
49.061,2.096774194
49.096,2.062561095
49.129,2.043010753
49.171,2.023460411
49.21,2.013685239
49.247,2.008797654
49.285,2.023460411
49.322,2.033235582
49.375,2.018572825
49.398,2.033235582
49.438,2.033235582
49.478,2.033235582
49.515,2.013685239
49.555,2.018572825
49.587,1.999022483
49.626,2.013685239
49.653,2.013685239
49.69,1.999022483
49.721,2.003910068
49.759,2.033235582
49.796,2.033235582
49.834,2.023460411
49.869,2.008797654
49.917,2.033235582
49.973,2.023460411
50.01,2.008797654
50.063,2.033235582
50.098,2.052785924
50.15,2.023460411
50.191,2.028347996
50.236,2.062561095
50.277,2.072336266
50.329,2.047898338
50.367,2.043010753
50.403,2.062561095
50.44,2.086999022
50.482,2.086999022
50.533,2.086999022
50.57,2.077223851
50.623,2.077223851
50.656,2.106549365
50.697,2.101661779
50.736,2.106549365
50.771,2.086999022
50.81,2.082111437
50.845,2.091886608
50.882,2.11143695
50.93,2.126099707
50.968,2.101661779
51.003,2.11143695
51.054,2.150537634
51.086,2.126099707
51.124,2.135874878
51.16,2.145650049
51.196,2.160312805
51.222,2.135874878
51.258,2.165200391
51.315,2.170087977
51.354,2.160312805
51.389,2.160312805
51.427,2.135874878
51.485,2.140762463
51.54,2.165200391
51.6,2.165200391
51.652,2.170087977
51.705,2.140762463
51.757,2.15542522
51.797,2.174975562
51.837,2.174975562
51.874,2.170087977
51.928,2.140762463
51.959,2.150537634
51.996,2.174975562
52.034,2.179863148
52.069,2.165200391
52.108,2.150537634
52.147,2.15542522
52.184,2.145650049
52.222,2.150537634
52.253,2.170087977
52.291,2.165200391
52.33,2.145650049
52.382,2.145650049
52.419,2.15542522
52.456,2.170087977
52.509,2.160312805
52.545,2.135874878
52.583,2.140762463
52.611,2.165200391
52.647,2.145650049
52.69,2.15542522
52.743,2.140762463
52.784,2.145650049
52.819,2.150537634
52.875,2.174975562
52.914,2.174975562
52.966,2.150537634
53.02,2.135874878
53.073,2.165200391
53.112,2.160312805
53.15,2.15542522
53.187,2.145650049
53.225,2.126099707
53.262,2.121212121
53.31,2.150537634
53.335,2.130987292
53.361,2.116324536
53.389,2.145650049
53.442,2.11143695
53.493,2.140762463
53.532,2.145650049
53.568,2.140762463
53.616,2.126099707
53.653,2.150537634
53.692,2.15542522
53.729,2.15542522
53.766,2.150537634
53.803,2.126099707
53.842,2.126099707
53.879,2.126099707
53.917,2.130987292
53.955,2.150537634
53.987,2.150537634
54.016,2.145650049
54.073,2.150537634
54.132,2.15542522
54.162,2.130987292
54.205,2.130987292
54.235,2.135874878
54.289,2.160312805
54.328,2.150537634
54.365,2.130987292
54.396,2.130987292
54.432,2.150537634
54.474,2.15542522
54.506,2.15542522
54.544,2.126099707
54.576,2.126099707
54.608,2.15542522
54.642,2.135874878
54.69,2.150537634
54.729,2.15542522
54.764,2.140762463
54.803,2.130987292
54.84,2.121212121
54.875,2.135874878
54.914,2.130987292
54.951,2.130987292
54.992,2.150537634
55.031,2.145650049
55.067,2.15542522
55.103,2.135874878
55.144,2.130987292
55.184,2.135874878
55.241,2.121212121
55.293,2.135874878
55.323,2.140762463
55.374,2.130987292
55.411,2.160312805
55.442,2.145650049
55.481,2.140762463
55.517,2.135874878
55.569,2.170087977
55.627,2.160312805
55.682,2.145650049
55.72,2.135874878
55.755,2.126099707
55.796,2.11143695
55.848,2.135874878
55.886,2.150537634
55.923,2.145650049
55.955,2.130987292
55.992,2.150537634
56.044,2.165200391
56.099,2.145650049
56.136,2.135874878
56.175,2.140762463
56.212,2.160312805
56.251,2.15542522
56.289,2.165200391
56.325,2.170087977
56.359,2.145650049
56.412,2.170087977
56.461,2.194525904
56.496,2.184750733
56.53,2.204301075
56.582,2.233626588
56.621,2.228739003
56.662,2.24340176
56.691,2.24340176
56.728,2.262952102
56.785,2.277614858
56.821,2.267839687
56.859,2.262952102
56.894,2.267839687
56.943,2.302052786
56.977,2.287390029
57.018,2.277614858
57.054,2.277614858
57.092,2.292277615
57.128,2.306940371
57.169,2.272727273
57.21,2.262952102
57.242,2.262952102
57.297,2.223851417
57.329,2.228739003
57.366,2.24340176
57.397,2.233626588
57.436,2.209188661
57.472,2.204301075
57.52,2.204301075
57.56,2.204301075
57.596,2.204301075
57.646,2.214076246
57.685,2.223851417
57.727,2.223851417
57.78,2.218963832
57.818,2.19941349
57.853,2.189638319
57.89,2.19941349
57.926,2.214076246
57.959,2.214076246
57.991,2.184750733
58.022,2.204301075
58.06,2.194525904
58.099,2.194525904
58.138,2.189638319
58.18,2.204301075
58.221,2.209188661
58.261,2.194525904
58.317,2.179863148
58.365,2.204301075
58.4,2.209188661
58.437,2.189638319
58.476,2.179863148
58.512,2.174975562
58.551,2.184750733
58.608,2.19941349
58.648,2.194525904
58.702,2.204301075
58.733,2.179863148
58.769,2.179863148
58.819,2.194525904
58.857,2.184750733
58.893,2.174975562
58.932,2.174975562
58.972,2.165200391
59.01,2.170087977
59.058,2.194525904
59.114,2.170087977
59.15,2.165200391
59.189,2.174975562
59.226,2.184750733
59.28,2.189638319
59.319,2.189638319
59.356,2.174975562
59.386,2.189638319
59.421,2.189638319
59.459,2.184750733
59.501,2.194525904
59.557,2.184750733
59.614,2.170087977
59.653,2.165200391
59.693,2.170087977
59.747,2.165200391
59.791,2.160312805
59.83,2.165200391
59.867,2.165200391
59.906,2.179863148
59.942,2.189638319
59.978,2.184750733
60.016,2.170087977
60.053,2.165200391
60.09,2.160312805
60.129,2.15542522
60.163,2.170087977
60.196,2.184750733
60.234,2.160312805
60.27,2.15542522
60.306,2.160312805
60.344,2.179863148
60.38,2.184750733
60.413,2.165200391
60.445,2.15542522
60.479,2.179863148
60.512,2.160312805
60.549,2.15542522
60.584,2.165200391
60.621,2.174975562
60.659,2.179863148
60.703,2.160312805
60.74,2.174975562
60.779,2.174975562
60.818,2.174975562
60.855,2.160312805
60.915,2.126099707
60.957,2.140762463
61.012,2.145650049
61.053,2.160312805
61.089,2.145650049
61.122,2.170087977
61.154,2.160312805
61.187,2.106549365
61.222,2.11143695
61.262,2.096774194
61.291,2.047898338
61.326,2.023460411
61.36,2.043010753
61.395,2.013685239
61.434,1.979472141
61.473,1.979472141
61.522,1.96969697
61.562,1.989247312
61.596,2.003910068
61.634,2.008797654
61.673,2.018572825
61.71,2.003910068
61.76,2.023460411
61.798,2.047898338
61.838,2.062561095
61.878,2.06744868
61.914,2.06744868
61.956,2.072336266
61.995,2.072336266
62.03,2.06744868
62.067,2.062561095
62.104,2.077223851
62.137,2.106549365
62.187,2.096774194
62.231,2.11143695
62.267,2.130987292
62.308,2.130987292
62.346,2.130987292
62.379,2.140762463
62.425,2.140762463
62.48,2.130987292
62.518,2.11143695
62.556,2.096774194
62.59,2.038123167
62.63,2.018572825
62.682,1.974584555
62.719,1.994134897
62.754,2.013685239
62.792,2.023460411
62.83,2.043010753
62.862,2.06744868
62.902,2.086999022
62.956,2.091886608
62.985,2.072336266
63.023,2.091886608
63.074,2.121212121
63.111,2.121212121
63.15,2.11143695
63.184,2.106549365
63.223,2.11143695
63.26,2.130987292
63.297,2.135874878
63.335,2.130987292
63.366,2.096774194
63.401,2.086999022
63.439,2.101661779
63.476,2.126099707
63.53,2.106549365
63.567,2.101661779
63.609,2.101661779
63.64,2.106549365
63.678,2.121212121
63.713,2.130987292
63.751,2.126099707
63.792,2.130987292
63.83,2.116324536
63.864,2.116324536
63.905,2.106549365
63.944,2.106549365
63.981,2.121212121
64.013,2.140762463
64.066,2.116324536
64.103,2.11143695
64.139,2.121212121
64.178,2.140762463
64.23,2.140762463
64.269,2.121212121
64.3,2.11143695
64.337,2.140762463
64.39,2.140762463
64.448,2.135874878
64.481,2.11143695
64.515,2.140762463
64.555,2.135874878
64.591,2.135874878
64.629,2.121212121
64.67,2.130987292
64.704,2.11143695
64.743,2.106549365
64.782,2.101661779
64.835,2.101661779
64.873,2.106549365
64.926,2.091886608
64.968,2.086999022
65.004,2.077223851
65.035,2.11143695
65.09,2.145650049
65.123,2.150537634
65.16,2.170087977
65.217,2.248289345
65.256,2.292277615
65.304,2.302052786
65.342,2.311827957
65.394,2.331378299
65.421,2.311827957
65.459,2.306940371
65.511,2.311827957
65.551,2.306940371
65.587,2.287390029
65.623,2.267839687
65.66,2.248289345
65.708,2.262952102
65.741,2.228739003
65.792,2.233626588
65.847,2.223851417
65.899,2.174975562
65.939,2.165200391
65.976,2.140762463
66.008,2.165200391
66.061,2.135874878
66.097,2.126099707
66.134,2.135874878
66.167,2.150537634
66.221,2.106549365
66.259,2.096774194
66.299,2.091886608
66.352,2.126099707
66.39,2.145650049
66.419,2.121212121
66.47,2.140762463
66.509,2.150537634
66.566,2.140762463
66.618,2.11143695
66.656,2.130987292
66.691,2.165200391
66.74,2.150537634
66.773,2.140762463
66.823,2.160312805
66.861,2.140762463
66.913,2.15542522
66.946,2.174975562
66.987,2.179863148
67.023,2.170087977
67.076,2.15542522
67.125,2.184750733
67.163,2.165200391
67.195,2.140762463
67.229,2.165200391
67.269,2.160312805
67.302,2.15542522
67.341,2.135874878
67.381,2.140762463
67.434,2.135874878
67.471,2.15542522
67.508,2.165200391
67.541,2.15542522
67.587,2.194525904
67.644,2.209188661
67.697,2.233626588
67.752,2.287390029
67.788,2.306940371
67.844,2.311827957
67.885,2.331378299
67.925,2.331378299
67.96,2.311827957
67.998,2.287390029
68.033,2.272727273
68.06,2.292277615
68.096,2.262952102
68.134,2.262952102
68.17,2.272727273
68.206,2.292277615
68.244,2.287390029
68.281,2.262952102
68.314,2.233626588
68.345,2.238514174
68.383,2.233626588
68.428,2.214076246
68.485,2.194525904
68.539,2.15542522
68.572,2.145650049
68.627,2.174975562
68.678,2.150537634
68.711,2.135874878
68.753,2.130987292
68.795,2.126099707
68.829,2.130987292
68.87,2.121212121
68.908,2.135874878
68.945,2.145650049
68.998,2.140762463
69.055,2.121212121
69.107,2.126099707
69.162,2.150537634
69.214,2.121212121
69.264,2.135874878
69.301,2.135874878
69.338,2.126099707
69.391,2.106549365
69.443,2.140762463
69.481,2.135874878
69.521,2.135874878
69.558,2.116324536
69.596,2.106549365
69.628,2.096774194
69.678,2.126099707
69.714,2.096774194
69.763,2.130987292
69.799,2.126099707
69.834,2.106549365
69.875,2.091886608
69.911,2.086999022
69.948,2.096774194
69.981,2.126099707
70.018,2.11143695
70.054,2.106549365
70.106,2.106549365
70.145,2.126099707
70.196,2.126099707
70.238,2.101661779
70.281,2.126099707
70.317,2.11143695
70.357,2.135874878
70.395,2.11143695
70.436,2.130987292
70.493,2.135874878
70.534,2.160312805
70.569,2.160312805
70.624,2.204301075
70.656,2.223851417
70.694,2.209188661
70.727,2.209188661
70.763,2.24340176
70.811,2.218963832
70.864,2.228739003
70.897,2.238514174
70.936,2.228739003
70.968,2.209188661
71.021,2.233626588
71.076,2.228739003
71.128,2.214076246
71.166,2.228739003
71.201,2.248289345
71.236,2.24340176
71.275,2.238514174
71.312,2.228739003
71.351,2.209188661
