Time_sec,Voltage1,Voltage2
0,0.64516129,0.136852395
1.274,0.381231672,0.166177908
1.382,0.410557185,0.136852395
1.448,0.508308895,0.14173998
1.514,0.635386119,0.14173998
1.62,0.889540567,0.156402737
1.68,0.684261975,0.136852395
1.729,0.64516129,0.127077224
1.778,0.527859238,0.127077224
1.84,0.557184751,0.131964809
1.897,0.601173021,0.131964809
1.95,0.718475073,0.131964809
1.999,0.796676442,0.122189638
2.049,0.752688172,0.122189638
2.098,0.571847507,0.117302053
2.147,0.581622678,0.122189638
2.209,0.625610948,0.117302053
2.271,0.566959922,0.112414467
2.319,0.610948192,0.112414467
2.372,0.630498534,0.117302053
2.425,0.752688172,0.122189638
2.474,0.708699902,0.122189638
2.524,0.669599218,0.117302053
2.57,0.527859238,0.117302053
2.627,0.532746823,0.117302053
2.68,0.606060606,0.14173998
2.733,0.50342131,0.131964809
2.786,0.537634409,0.131964809
2.836,0.596285435,0.127077224
2.885,0.728250244,0.131964809
2.937,0.68914956,0.127077224
2.986,0.50342131,0.131964809
3.033,0.493646139,0.146627566
3.081,0.381231672,0.131964809
3.129,0.522971652,0.131964809
3.179,0.747800587,0.14173998
3.229,0.786901271,0.146627566
3.278,0.640273705,0.146627566
3.327,0.64516129,0.136852395
3.376,0.537634409,0.136852395
3.425,0.557184751,0.131964809
3.479,0.405669599,0.131964809
3.526,0.478983382,0.131964809
3.584,0.395894428,0.127077224
3.633,0.303030303,0.156402737
3.679,0.434995112,0.161290323
3.728,0.508308895,0.161290323
3.778,0.659824047,0.175953079
3.828,0.679374389,0.166177908
3.875,0.557184751,0.156402737
3.934,0.464320626,0.151515152
3.987,0.557184751,0.146627566
4.035,0.659824047,0.146627566
4.088,0.928641251,0.146627566
4.138,0.684261975,0.131964809
4.179,0.650048876,0.136852395
4.223,0.581622678,0.131964809
4.274,0.493646139,0.151515152
4.325,0.518084066,0.205278592
4.37,0.586510264,0.234604106
4.421,0.576735093,0.268817204
4.469,0.909090909,0.239491691
4.523,1.358748778,0.205278592
4.584,2.189638319,0.171065494
4.642,2.482893451,0.161290323
4.69,2.130987292,0.175953079
4.737,1.671554252,0.171065494
4.793,1.065493646,0.166177908
4.843,0.884652981,0.166177908
4.895,0.659824047,0.156402737
4.944,0.610948192,0.151515152
4.991,0.610948192,0.156402737
5.038,0.620723363,0.146627566
5.087,0.679374389,0.136852395
5.137,0.762463343,0.14173998
5.183,0.830889541,0.127077224
5.231,0.767350929,0.127077224
5.281,0.928641251,0.131964809
5.334,0.816226784,0.131964809
5.378,0.664711632,0.136852395
5.427,0.635386119,0.146627566
5.473,0.698924731,0.156402737
5.522,0.650048876,0.146627566
5.567,0.698924731,0.14173998
5.624,0.596285435,0.151515152
5.67,0.566959922,0.136852395
5.718,0.542521994,0.200391007
5.764,0.449657869,0.180840665
5.816,0.430107527,0.195503421
5.862,0.469208211,0.283479961
5.913,0.410557185,0.263929619
5.965,0.488758553,0.219941349
6.013,0.493646139,0.195503421
6.058,0.444770283,0.175953079
6.103,0.469208211,0.161290323
6.152,0.444770283,0.151515152
6.203,1.001955034,0.14173998
6.252,0.889540567,0.239491691
6.305,0.855327468,0.249266862
6.354,0.659824047,0.224828935
6.412,0.684261975,0.180840665
6.465,0.552297165,0.156402737
6.512,0.542521994,0.166177908
6.564,0.464320626,0.180840665
6.613,0.610948192,0.190615836
6.661,0.518084066,0.180840665
6.71,0.508308895,0.180840665
6.759,0.483870968,0.171065494
6.808,0.50342131,0.171065494
6.852,0.532746823,0.156402737
6.898,0.64516129,0.14173998
6.952,0.50342131,0.14173998
7.005,0.659824047,0.156402737
7.053,0.571847507,0.166177908
7.104,0.508308895,0.146627566
7.158,0.703812317,0.136852395
7.21,0.601173021,0.146627566
7.255,0.518084066,0.156402737
7.303,0.522971652,0.146627566
7.353,0.552297165,0.14173998
7.402,0.469208211,0.131964809
7.452,0.513196481,0.136852395
7.501,0.542521994,0.146627566
7.549,0.420332356,0.161290323
7.598,0.50342131,0.156402737
7.647,0.425219941,0.161290323
7.696,0.606060606,0.161290323
7.742,0.513196481,0.190615836
7.792,0.640273705,0.210166178
7.845,0.576735093,0.210166178
7.892,0.635386119,0.219941349
7.942,0.557184751,0.195503421
8,0.606060606,0.171065494
8.05,0.576735093,0.27370479
8.098,0.659824047,0.234604106
8.152,0.571847507,0.254154448
8.207,0.738025415,0.224828935
8.254,0.752688172,0.190615836
8.303,0.674486804,0.156402737
8.354,0.562072336,0.166177908
8.407,0.488758553,0.190615836
8.457,0.518084066,0.205278592
8.503,0.581622678,0.210166178
8.553,0.527859238,0.205278592
8.604,0.557184751,0.205278592
8.65,0.811339198,0.195503421
8.701,0.816226784,0.180840665
8.75,0.698924731,0.166177908
8.799,0.601173021,0.156402737
8.854,0.635386119,0.14173998
8.905,0.654936461,0.136852395
8.957,0.640273705,0.127077224
9.003,0.625610948,0.136852395
9.053,0.562072336,0.131964809
9.101,0.610948192,0.131964809
9.15,0.630498534,0.136852395
9.201,0.537634409,0.131964809
9.253,0.508308895,0.14173998
9.308,0.45943304,0.14173998
9.356,0.483870968,0.14173998
9.401,0.518084066,0.146627566
9.451,0.449657869,0.131964809
9.499,0.498533724,0.136852395
9.548,0.483870968,0.131964809
9.597,0.493646139,0.131964809
9.648,0.425219941,0.131964809
9.697,0.351906158,0.131964809
9.749,0.464320626,0.166177908
9.801,0.518084066,0.180840665
9.853,0.449657869,0.200391007
9.909,0.483870968,0.205278592
9.975,0.527859238,0.22971652
10.032,0.498533724,0.200391007
10.089,0.454545455,0.161290323
10.142,0.518084066,0.175953079
10.192,0.522971652,0.180840665
10.249,0.444770283,0.156402737
10.308,0.518084066,0.190615836
10.363,0.601173021,0.180840665
10.416,0.410557185,0.166177908
10.474,0.430107527,0.200391007
10.529,0.454545455,0.219941349
10.588,0.405669599,0.195503421
10.642,0.45943304,0.215053763
10.695,0.425219941,0.210166178
10.747,0.45943304,0.195503421
10.797,0.527859238,0.18572825
10.847,0.400782014,0.180840665
10.913,0.434995112,0.161290323
10.966,0.478983382,0.166177908
11.015,0.469208211,0.156402737
11.064,0.601173021,0.146627566
11.113,0.464320626,0.151515152
11.162,0.513196481,0.146627566
11.212,0.474095797,0.14173998
11.261,0.483870968,0.161290323
11.314,0.425219941,0.146627566
11.367,0.420332356,0.171065494
11.417,0.347018573,0.175953079
11.465,0.483870968,0.156402737
11.517,0.478983382,0.14173998
11.567,0.513196481,0.156402737
11.626,0.488758553,0.156402737
11.673,0.376344086,0.151515152
11.719,0.376344086,0.175953079
11.769,0.45943304,0.151515152
11.818,0.405669599,0.151515152
11.872,0.420332356,0.151515152
11.924,0.434995112,0.146627566
11.973,0.474095797,0.131964809
12.019,0.498533724,0.136852395
12.066,0.50342131,0.156402737
12.115,0.474095797,0.151515152
12.161,0.478983382,0.146627566
12.215,0.542521994,0.18572825
12.267,0.566959922,0.161290323
12.319,0.640273705,0.161290323
12.371,0.478983382,0.175953079
12.42,0.513196481,0.151515152
12.469,0.498533724,0.14173998
12.519,0.439882698,0.14173998
12.566,0.444770283,0.136852395
12.612,0.430107527,0.151515152
12.661,0.400782014,0.136852395
12.712,0.41544477,0.131964809
12.762,0.474095797,0.131964809
12.808,0.469208211,0.127077224
12.857,0.449657869,0.14173998
12.911,0.478983382,0.136852395
12.959,0.391006843,0.146627566
13.006,0.434995112,0.146627566
13.054,0.434995112,0.131964809
13.103,0.454545455,0.127077224
13.152,0.488758553,0.122189638
13.197,0.444770283,0.122189638
13.246,0.562072336,0.127077224
13.297,0.508308895,0.127077224
13.344,0.684261975,0.117302053
